B,M,P0_mean_ms,P0_std_ms,P1_mean_ms,P1_std_ms,P1_vs_P0,P2_mean_ms,P2_std_ms,P2_vs_P0,P3_mean_ms,P3_std_ms,P3_vs_P0,P4_mean_ms,P4_std_ms,P4_vs_P0,P5_mean_ms,P5_std_ms,P5_vs_P0,R,T_kv,config,mode
2,1024,1.4215,0.0272,1.6317,0.0061,0.871,,,,,,,11.7933,0.4598,0.121,13.0422,0.1541,0.109,1,1024,qwen25_7b,prefill
4,1024,2.9027,0.049,3.1852,0.039,0.911,,,,,,,25.8584,0.4722,0.112,23.8435,0.1528,0.122,1,1024,qwen25_7b,prefill
1,2048,3.0023,0.0164,3.1638,0.0636,0.949,,,,,,,25.7829,0.3152,0.116,24.1481,0.2916,0.124,1,2048,qwen25_7b,prefill
2,2048,5.6716,0.1192,5.9745,0.1082,0.949,,,,,,,46.9604,0.5569,0.121,46.6411,0.675,0.122,1,2048,qwen25_7b,prefill
4,2048,11.2908,0.2891,11.9673,0.0573,0.943,,,,,,,93.4905,0.5514,0.121,93.4612,0.5438,0.121,1,2048,qwen25_7b,prefill
1,4096,11.0031,0.0854,10.5795,0.0681,1.04,,,,,,,92.4992,0.7165,0.119,91.9318,0.2614,0.12,1,4096,qwen25_7b,prefill
2,4096,20.2197,0.2809,20.6799,0.0458,0.978,,,,,,,184.5253,1.7088,0.11,185.9348,0.6995,0.109,1,4096,qwen25_7b,prefill
4,4096,40.7619,0.6768,41.5178,0.1568,0.982,,,,,,,370.2006,0.8933,0.11,373.2194,1.2933,0.109,1,4096,qwen25_7b,prefill
1,8192,39.8442,0.4985,40.5613,0.0509,0.982,,,,,,,369.9545,1.9234,0.108,372.0176,2.1411,0.107,1,8192,qwen25_7b,prefill
2,8192,81.5412,0.1197,81.931,0.1447,0.995,,,,,,,748.0381,3.0313,0.109,750.575,2.9216,0.109,1,8192,qwen25_7b,prefill
4,8192,164.2036,0.2507,165.1186,0.1828,0.994,,,,,,,1507.5129,5.1972,0.109,1514.513,1.1866,0.108,1,8192,qwen25_7b,prefill
