config,mode,T_kv,B,pipeline,n_runs,mean_ms,std_ms,min_ms,max_ms,median_ms,p5_ms,p95_ms,mean_tps,cv_pct
qwen25_05b,decode,131072,16,P5,10,3.5239,0.0062,3.5169,3.5359,3.5247,3.5169,3.5359,4540.4,0.18
qwen25_05b,decode,131072,32,P0,10,22.8881,0.1323,22.7322,23.0711,22.9776,22.7322,23.0711,1398.1,0.58
qwen25_05b,decode,131072,32,P1,10,35.6395,0.126,35.547,35.8423,35.5628,35.547,35.8423,897.9,0.35
qwen25_05b,decode,131072,32,P3,10,6.8843,0.0304,6.8073,6.9137,6.895,6.8073,6.9137,4648.3,0.44
qwen25_05b,decode,131072,32,P5,10,6.8769,0.0237,6.8143,6.8961,6.8836,6.8143,6.8961,4653.3,0.34
qwen25_05b,decode,131072,64,P0,10,44.596,0.1438,44.3482,44.8868,44.6106,44.3482,44.8868,1435.1,0.32
qwen25_05b,decode,131072,64,P1,10,69.8404,0.2603,69.4739,70.1995,69.8659,69.4739,70.1995,916.4,0.37
qwen25_05b,decode,131072,64,P3,10,10.5741,0.023,10.5476,10.6209,10.5715,10.5476,10.6209,6052.5,0.22
qwen25_05b,decode,131072,64,P5,10,10.5984,0.041,10.5381,10.6525,10.612,10.5381,10.6525,6038.6,0.39
qwen25_05b,prefill,512,1,P0,10,0.0659,0.0307,0.0516,0.1496,0.0538,0.0516,0.1496,7769347.5,46.57
qwen25_05b,prefill,512,1,P1,10,0.274,0.0144,0.2616,0.3063,0.2704,0.2616,0.3063,1868613.1,5.25
qwen25_05b,prefill,512,1,P5,10,0.2741,0.0154,0.259,0.3021,0.27,0.259,0.3021,1867931.4,5.61
qwen25_05b,prefill,512,2,P0,10,0.0504,0.009,0.0451,0.075,0.0468,0.0451,0.075,20317460.3,17.93
qwen25_05b,prefill,512,2,P1,10,0.2661,0.0133,0.2563,0.2986,0.2605,0.2563,0.2986,3848177.4,4.99
qwen25_05b,prefill,512,2,P5,10,0.2679,0.017,0.2555,0.2928,0.26,0.2555,0.2928,3822321.8,6.33
qwen25_05b,prefill,512,4,P0,10,0.0534,0.0019,0.0512,0.0581,0.053,0.0512,0.0581,38352059.9,3.53
qwen25_05b,prefill,512,4,P1,10,0.2733,0.0149,0.2601,0.2988,0.2675,0.2601,0.2988,7493596.8,5.47
qwen25_05b,prefill,512,4,P5,10,0.2738,0.0186,0.2605,0.3029,0.2636,0.2605,0.3029,7479912.3,6.81
