config,T_kv,B,pipeline,mean_ms,total_tps,oom
phi4_14b,8192,8,P0,2.0346,3932.0,False
phi4_14b,8192,8,P5,0.8867,9022.2,False
phi4_14b,8192,16,P0,3.7842,4228.1,False
phi4_14b,8192,16,P5,1.3145,12171.9,False
phi4_14b,8192,32,P0,7.4794,4278.4,False
phi4_14b,8192,32,P5,2.2059,14506.6,False
phi4_14b,8192,64,P0,15.0036,4265.6,False
phi4_14b,8192,64,P5,4.3197,14815.8,False
phi4_14b,8192,128,P0,29.9433,4274.7,False
phi4_14b,8192,128,P5,8.4645,15122.0,False
phi4_14b,8192,256,P0,60.5078,4230.9,False
phi4_14b,8192,256,P5,16.6638,15362.6,False
qwen3_8b,8192,1,P0,0.2331,4290.0,False
qwen3_8b,8192,1,P5,0.3546,2820.1,False
qwen3_8b,8192,2,P0,0.4223,4736.0,False
qwen3_8b,8192,2,P5,0.3511,5696.4,False
qwen3_8b,8192,4,P0,0.7636,5238.3,False
qwen3_8b,8192,4,P5,0.4148,9643.2,False
qwen3_8b,8192,8,P0,1.5242,5248.7,False
qwen3_8b,8192,8,P5,0.4745,16859.9,False
qwen3_8b,8192,16,P0,3.0044,5325.5,False
qwen3_8b,8192,16,P5,0.9154,17478.7,False
qwen3_8b,8192,32,P0,5.9746,5356.0,False
qwen3_8b,8192,32,P5,1.7634,18146.8,False
qwen3_8b,8192,64,P0,12.0025,5332.2,False
qwen3_8b,8192,64,P5,3.4698,18444.9,False
qwen3_8b,8192,128,P0,23.9287,5349.2,False
qwen3_8b,8192,128,P5,6.8221,18762.6,False
qwen3_8b,8192,256,P0,48.2519,5305.5,False
qwen3_8b,8192,256,P5,13.4783,18993.5,False
mistral_small_24b,8192,1,P0,0.2347,4260.8,False
mistral_small_24b,8192,1,P5,0.3527,2835.3,False
mistral_small_24b,8192,2,P0,0.4223,4736.0,False
mistral_small_24b,8192,2,P5,0.3517,5686.7,False
mistral_small_24b,8192,4,P0,0.764,5235.6,False
mistral_small_24b,8192,4,P5,0.417,9592.3,False
mistral_small_24b,8192,8,P0,1.5313,5224.3,False
mistral_small_24b,8192,8,P5,0.4794,16687.5,False
mistral_small_24b,8192,16,P0,3.0209,5296.4,False
mistral_small_24b,8192,16,P5,0.9175,17438.7,False
mistral_small_24b,8192,32,P0,6.0077,5326.5,False
mistral_small_24b,8192,32,P5,1.7695,18084.2,False
mistral_small_24b,8192,64,P0,11.9836,5340.6,False
mistral_small_24b,8192,64,P5,3.4786,18398.2,False
mistral_small_24b,8192,128,P0,23.9335,5348.2,False
mistral_small_24b,8192,128,P5,6.8024,18816.9,False
mistral_small_24b,8192,256,P0,48.1926,5312.0,False
mistral_small_24b,8192,256,P5,13.5071,18953.0,False
