config,B,T_kv,pipeline,max_memory_mb,oom
deepseek_r1_7b,32,16384,P0,8925.9,False
deepseek_r1_7b,32,16384,P5,2365.8,False
deepseek_r1_7b,32,32768,P0,17817.9,False
deepseek_r1_7b,32,32768,P5,4697.8,False
deepseek_r1_7b,32,65536,P0,35601.7,False
deepseek_r1_7b,32,65536,P5,9361.9,False
deepseek_r1_7b,32,131072,P0,71169.4,False
deepseek_r1_7b,32,131072,P5,18690.0,False
phi4_14b,1,512,P0,47.5,False
phi4_14b,1,512,P5,39.3,False
phi4_14b,1,1024,P0,61.3,False
phi4_14b,1,1024,P5,45.0,False
phi4_14b,1,2048,P0,89.1,False
phi4_14b,1,2048,P5,56.3,False
phi4_14b,1,4096,P0,144.5,False
phi4_14b,1,4096,P5,79.1,False
phi4_14b,1,8192,P0,255.2,False
phi4_14b,1,8192,P5,124.7,False
phi4_14b,1,16384,P0,476.7,False
phi4_14b,1,16384,P5,215.8,False
phi4_14b,32,512,P0,477.2,False
phi4_14b,32,512,P5,216.1,False
phi4_14b,32,1024,P0,920.3,False
phi4_14b,32,1024,P5,398.3,False
phi4_14b,32,2048,P0,1806.3,False
phi4_14b,32,2048,P5,762.6,False
phi4_14b,32,4096,P0,3578.4,False
phi4_14b,32,4096,P5,1491.4,False
phi4_14b,32,8192,P0,7122.6,False
phi4_14b,32,8192,P5,2948.9,False
phi4_14b,32,16384,P0,14211.0,False
phi4_14b,32,16384,P5,5864.0,False
qwen3_8b,1,512,P0,44.7,False
qwen3_8b,1,512,P5,38.1,False
qwen3_8b,1,1024,P0,55.9,False
qwen3_8b,1,1024,P5,42.7,False
qwen3_8b,1,2048,P0,78.0,False
qwen3_8b,1,2048,P5,51.8,False
qwen3_8b,1,4096,P0,122.3,False
qwen3_8b,1,4096,P5,70.0,False
qwen3_8b,1,8192,P0,210.9,False
qwen3_8b,1,8192,P5,106.4,False
qwen3_8b,1,16384,P0,388.1,False
qwen3_8b,1,16384,P5,179.3,False
qwen3_8b,1,32768,P0,742.5,False
qwen3_8b,1,32768,P5,325.1,False
qwen3_8b,32,512,P0,388.5,False
qwen3_8b,32,512,P5,179.6,False
qwen3_8b,32,1024,P0,742.9,False
qwen3_8b,32,1024,P5,325.3,False
qwen3_8b,32,2048,P0,1451.8,False
qwen3_8b,32,2048,P5,616.8,False
qwen3_8b,32,4096,P0,2869.4,False
qwen3_8b,32,4096,P5,1199.8,False
qwen3_8b,32,8192,P0,5704.8,False
qwen3_8b,32,8192,P5,2365.8,False
qwen3_8b,32,16384,P0,11375.5,False
qwen3_8b,32,16384,P5,4697.9,False
qwen3_8b,32,32768,P0,22716.9,False
qwen3_8b,32,32768,P5,9361.9,False
mistral_small_24b,1,512,P0,44.7,False
mistral_small_24b,1,512,P5,38.1,False
mistral_small_24b,1,1024,P0,55.9,False
mistral_small_24b,1,1024,P5,42.7,False
mistral_small_24b,1,2048,P0,78.0,False
mistral_small_24b,1,2048,P5,51.8,False
mistral_small_24b,1,4096,P0,122.3,False
mistral_small_24b,1,4096,P5,70.0,False
mistral_small_24b,1,8192,P0,210.9,False
mistral_small_24b,1,8192,P5,106.4,False
mistral_small_24b,1,16384,P0,388.1,False
mistral_small_24b,1,16384,P5,179.3,False
mistral_small_24b,1,32768,P0,742.5,False
mistral_small_24b,1,32768,P5,325.1,False
mistral_small_24b,1,65536,P0,1451.4,False
mistral_small_24b,1,65536,P5,616.6,False
mistral_small_24b,1,131072,P0,2869.0,False
mistral_small_24b,1,131072,P5,1199.6,False
mistral_small_24b,32,512,P0,388.5,False
mistral_small_24b,32,512,P5,179.6,False
mistral_small_24b,32,1024,P0,742.9,False
mistral_small_24b,32,1024,P5,325.3,False
mistral_small_24b,32,2048,P0,1451.8,False
mistral_small_24b,32,2048,P5,616.8,False
mistral_small_24b,32,4096,P0,2869.4,False
mistral_small_24b,32,4096,P5,1199.8,False
mistral_small_24b,32,8192,P0,5704.8,False
mistral_small_24b,32,8192,P5,2365.8,False
mistral_small_24b,32,16384,P0,11375.5,False
mistral_small_24b,32,16384,P5,4697.9,False
mistral_small_24b,32,32768,P0,22716.9,False
mistral_small_24b,32,32768,P5,9361.9,False
mistral_small_24b,32,65536,P0,45399.7,False
mistral_small_24b,32,65536,P5,18690.1,False
mistral_small_24b,32,131072,P0,56405.3,False
mistral_small_24b,32,131072,P5,37346.3,False
