W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,kv_mb_per_tok,kv_kept_mean,feasible
1638,1945,0.5199996582794825,0.95,4,2.0,8,297.8160785293748,2639.7146384187954,10.96766209229827,21.71904,1767.5,False
1638,1945,0.5199996582794825,0.95,4,4.0,8,254.86361044423458,2244.579808391585,11.013788636773825,22.652928000000003,1843.5,False
1638,1945,0.5672641002266396,0.95,4,2.0,8,297.8160785293748,2639.7146384187954,10.969188995659351,21.71904,1767.5,False
1638,1945,0.5672641002266396,0.95,4,4.0,8,254.86361044423458,2244.579808391585,11.021648533642292,22.652928000000003,1843.5,False
1638,1945,0.6295167079745292,0.95,4,2.0,8,297.8160785293748,2639.7146384187954,10.955269914120436,21.71904,1767.5,False
1638,1945,0.6295167079745292,0.95,4,4.0,8,254.86361044423458,2244.579808391585,11.014781892299652,22.652928000000003,1843.5,False
1843,1945,0.5199996582794825,0.95,4,2.0,8,10.967860953594336,0.8972025791431258,11.27167558297515,24.23808,1972.5,True
1843,1945,0.5199996582794825,0.95,4,4.0,8,10.9264093992105,0.5158751810677912,11.313370428979397,25.024512,2036.5,True
1843,1945,0.5672641002266396,0.95,4,2.0,8,10.967860953594336,0.8972025791431258,11.257647071033716,24.23808,1972.5,True
1843,1945,0.5672641002266396,0.95,4,4.0,8,10.9264093992105,0.5158751810677912,11.310089379549026,25.024512,2036.5,True
1843,1945,0.6295167079745292,0.95,4,2.0,8,10.967860953594336,0.8972025791431258,11.275134980678558,24.23808,1972.5,True
1843,1945,0.6295167079745292,0.95,4,4.0,8,10.9264093992105,0.5158751810677912,11.323791462928057,25.024512,2036.5,True
