model,n_heads,n_kv_heads,head_dim,T,B,lat_P0_ms,lat_P1_ms,lat_P3_ms,speedup_P5_P0,kv_bytes_fp16,kv_bytes_int4,kv_bytes_per_token_fp16,kv_bytes_per_token_int4,flops,ai_fp16,ai_int4,tokens_per_sec_P0,tokens_per_sec_P5
qwen25_1.8b,16,2,128,16384,1,0.0753,0.4422,0.4965,0.152,16777216,4718592,16777216.0,4718592.0,134217728,8.0,28.4444,13274.9,2014.1
qwen25_1.8b,16,2,128,16384,2,0.1184,0.6405,0.507,0.234,33554432,9437184,16777216.0,4718592.0,268435456,8.0,28.4444,16893.3,3945.1
qwen25_1.8b,16,2,128,16384,4,0.2018,1.201,0.507,0.398,67108864,18874368,16777216.0,4718592.0,536870912,8.0,28.4444,19821.6,7889.2
qwen25_1.8b,16,2,128,16384,8,0.3757,2.3315,0.5614,0.669,134217728,37748736,16777216.0,4718592.0,1073741824,8.0,28.4444,21291.9,14251.3
qwen25_1.8b,16,2,128,16384,16,0.8103,4.6308,0.6453,1.256,268435456,75497472,16777216.0,4718592.0,2147483648,8.0,28.4444,19745.5,24793.1
qwen25_1.8b,16,2,128,16384,32,1.5818,9.1337,1.2438,1.272,536870912,150994944,16777216.0,4718592.0,4294967296,8.0,28.4444,20229.7,25728.6
qwen25_1.8b,16,2,128,32768,1,0.1182,0.6427,0.9594,0.123,33554432,9437184,33554432.0,9437184.0,268435456,8.0,28.4444,8463.8,1042.3
qwen25_1.8b,16,2,128,32768,2,0.206,1.2099,0.9799,0.21,67108864,18874368,33554432.0,9437184.0,536870912,8.0,28.4444,9706.9,2041.1
qwen25_1.8b,16,2,128,32768,4,0.3745,2.3405,1.098,0.341,134217728,37748736,33554432.0,9437184.0,1073741824,8.0,28.4444,10680.9,3643.1
qwen25_1.8b,16,2,128,32768,8,0.7174,4.5659,1.1054,0.649,268435456,75497472,33554432.0,9437184.0,2147483648,8.0,28.4444,11151.5,7237.2
qwen25_1.8b,16,2,128,32768,16,1.5906,9.1334,1.2342,1.289,536870912,150994944,33554432.0,9437184.0,4294967296,8.0,28.4444,10058.8,12964.4
